到课率,习题正确率,预习率,成绩
0.820 ,,0.065 ,59
0.820 ,,0.097 ,69
0.910 ,,0.806 ,62
0.820 ,,0.065 ,59
0.910 ,,0.290 ,87
0.820 ,,0.452 ,76
0.820 ,,0.355 ,70
0.910 ,,0.323 ,59
0.910 ,,0.742 ,88
0.820 ,,0.290 ,73
0.820 ,,0.000 ,59
0.910 ,,0.194 ,87
0.910 ,,0.677 ,81
0.910 ,,0.129 ,59
0.910 ,,0.387 ,92
0.820 ,,0.419 ,69
0.910 ,,0.226 ,59
0.820 ,,0.710 ,67
0.820 ,,0.645 ,76
0.820 ,,0.194 ,80
0.820 ,,0.516 ,85
0.910 ,,0.484 ,78
0.910 ,,0.419 ,71
0.910 ,,0.645 ,59
0.910 ,,0.419 ,77
0.910 ,,0.548 ,80
0.910 ,,0.581 ,70
0.910 ,,0.677 ,80
0.910 ,,0.226 ,62
0.730 ,,0.226 ,76
0.910 ,,0.226 ,59
0.820 ,,0.355 ,59
0.910 ,,0.290 ,80
0.910 ,,0.742 ,59
0.910 ,,0.258 ,59
0.820 ,,0.258 ,86
0.820 ,,0.097 ,74
0.820 ,,0.484 ,97
0.910 ,,0.323 ,72
0.910 ,,0.516 ,89
0.910 ,,0.677 ,83
0.910 ,,0.742 ,70
0.820 ,,0.129 ,83
0.910 ,,0.290 ,72
0.730 ,,0.387 ,80
0.820 ,,0.258 ,72
0.910 ,,0.065 ,73
0.910 ,,0.484 ,77
0.000 ,,0.065 ,59
0.910 ,,0.387 ,71
0.910 ,,0.452 ,65
0.910 ,,0.161 ,59
0.910 ,,0.258 ,70
0.820 ,,0.323 ,59
0.910 ,,0.323 ,83
0.910 ,,0.484 ,70
0.910 ,,0.258 ,90
0.910 ,,0.516 ,72
0.910 ,,0.194 ,59
0.910 ,,0.355 ,66
0.820 ,,0.452 ,70
0.910 ,,0.419 ,72
0.910 ,,0.677 ,84
0.820 ,,0.581 ,72
0.820 ,,0.000 ,80
0.910 ,,0.290 ,76
0.910 ,,0.839 ,82
0.820 ,,0.355 ,67
0.910 ,,0.258 ,80
0.910 ,,0.710 ,80
0.820 ,,0.323 ,93
0.820 ,,0.710 ,81
0.770 ,,0.447 ,64
0.920 ,,0.579 ,59
0.540 ,,0.000 ,59
0.920 ,,0.711 ,59
0.850 ,,0.474 ,86
0.850 ,,0.658 ,70
0.920 ,,0.263 ,70
0.920 ,,0.711 ,65
0.770 ,,0.237 ,59
0.920 ,,0.500 ,76
0.850 ,,0.763 ,59
0.770 ,,0.263 ,59
0.920 ,,0.763 ,64
0.850 ,,0.395 ,59
0.850 ,,0.237 ,59
0.690 ,,0.500 ,59
0.920 ,,0.211 ,59
0.850 ,,0.605 ,59
0.920 ,,0.421 ,63
0.920 ,,0.658 ,84
0.920 ,,0.895 ,78
0.920 ,,0.289 ,60
0.850 ,,0.368 ,64
0.920 ,,0.342 ,78
0.850 ,,0.658 ,67
0.920 ,,0.711 ,69
0.460 ,,0.000 ,59
0.920 ,,0.316 ,59
0.380 ,,0.000 ,59
0.920 ,,0.658 ,70
0.540 ,,0.605 ,60
0.850 ,,0.421 ,80
0.920 ,,0.263 ,59
0.770 ,,0.474 ,86
0.850 ,,0.342 ,59
0.850 ,,0.342 ,64
0.920 ,,0.211 ,59
0.920 ,,0.342 ,59
0.920 ,,0.000 ,90
0.690 ,,0.474 ,72
0.850 ,,0.605 ,59
0.770 ,,0.105 ,65
0.920 ,,0.158 ,76
0.850 ,,0.289 ,80
0.850 ,,0.368 ,71
0.920 ,,0.553 ,79
0.920 ,,0.079 ,59
0.850 ,,0.079 ,62
0.850 ,,0.132 ,60
0.920 ,,0.237 ,64
0.920 ,,0.342 ,67
0.920 ,,0.421 ,60
0.850 ,,0.342 ,59
0.920 ,,0.316 ,70
0.850 ,,0.737 ,84
0.850 ,,0.263 ,77
0.920 ,,0.342 ,59
0.770 ,,0.684 ,66
0.850 ,,0.737 ,67
0.920 ,,0.526 ,70
0.770 ,,0.237 ,65
0.770 ,,0.974 ,59
0.920 ,,0.368 ,74
0.920 ,,0.553 ,68
0.850 ,,0.789 ,76
0.770 ,,0.763 ,72
0.920 ,,0.342 ,73
0.850 ,,0.263 ,59
0.920 ,,0.316 ,80
0.920 ,,0.368 ,60
0.920 ,,0.737 ,60
0.920 ,,0.368 ,59
0.920 ,,0.263 ,60
0.850 ,,0.368 ,66
0.920 ,,0.316 ,83
0.920 ,,0.289 ,60
0.920 ,,0.053 ,63
0.920 ,,0.632 ,86
0.690 ,,0.211 ,59
0.770 ,,0.474 ,80
0.770 ,,0.342 ,74
0.770 ,,0.263 ,72
0.850 ,,0.763 ,85
0.920 ,,0.105 ,88
1.000 ,,0.200 ,65
1.000 ,,1.000 ,82
1.000 ,,1.000 ,81
1.000 ,,0.200 ,81
1.000 ,,1.000 ,65
1.000 ,,1.000 ,76
0.920 ,,0.800 ,86
0.850 ,,0.000 ,59
1.000 ,,0.200 ,87
1.000 ,,1.000 ,59
1.000 ,,1.000 ,65
